Id,Fecha,Hora local,Latitud N(°),Longitud W(°),Localizacion,Profundidad (km),Magnitud,Intensidad
4722,10-Jul-20,5:48:04 AM,13.1088,-89.5718,Frente a la costa de La Libertad. A 44 km al sur de Playa Mizata.,40.18,3.6,II en La Libertad
4721,5-Jul-20,2:12:34 PM,13.631,-90.2507,Frente a la costa de Guatemala. A 26 km al oeste de Barra de Santiago.,55.89,3.6,II en AhuachapÃ¡n
4720,5-Jul-20,6:52:38 AM,13.2823,-87.7833,En Golfo de Fonseca. A 9 km al sureste de La UniÃ³n.,19.61,2.9,II en La UniÃ³n
4719,5-Jul-20,4:02:38 AM,13.2725,-89.776,Frente a la costa de Sonsonate. A 28 km al sur de Playa Los CÃ³banos.,42.07,3.9,II en Sonsonate
4718,1-Jul-20,6:35:34 PM,12.5902,-87.9015,Frente a la costa de La UniÃ³n. A 63 km al sur de Playa Las Tunas.,50.42,4.1,II en La Union
4717,30-Jun-20,8:45:09 AM,12.5032,-89.5072,Frente a la costa de La Libertad. A 107 km al suroeste de Playa Las Hojas.,12.1,4.4,II en La Libertad
4716,29-Jun-20,4:28:04 PM,11.4563,-87.9153,Frente a la costa de Nicaragua. A 188 km al sur de Playa Las Tunas.,36.07,5.1,II en La UniÃ³n
4715,29-Jun-20,3:54:04 AM,12.9853,-89.465,Frente a la costa de La Libertad. A 56 km al sur de Playa El Sunzal.,35.21,3.5,II en la libertad
4714,27-Jun-20,8:33:12 PM,11.39,-86.968,Frente a la costa de Nicaragua.,12,5,II en La UniÃ³n
4713,22-Jun-20,8:59:45 AM,13.6182,-90.6877,Frente a la costa de Guatemala. A 73 km al oeste de Barra de Santiago.,15,4.6,II en AhuachapÃ¡n
4712,21-Jun-20,11:21:16 AM,13.1207,-88.969,Frente a la costa de La Paz. A 20 km al suroeste de Estero de Jaltepeque.,61.73,4,II en Zacatecoluca
4711,17-Jun-20,10:27:26 AM,12.7368,-88.3077,Frente a la costa de UsulutÃ¡n. A 48 km al sur de Playa El Espino.,33.53,4,II UsulutÃ¡n
4710,17-Jun-20,2:16:37 AM,13.014,-89.3,Frente a la costa de La Libertad. A 47 km al suroeste de Playa Las Hojas.,45.23,3.5,II en La Libertad
4709,16-Jun-20,2:17:00 PM,13.3298,-89.6355,Frente a la costa de La Libertad. A 20 km al sur de Playa Mizata.,56.51,3.9,II en La Libertad
4708,16-Jun-20,11:18:25 AM,13.146,-89.6615,Frente a la costa de La Libertad. A 41 km al sur de Playa Mizata.,29.87,3.6,II en La Libertad
4707,14-Jun-20,6:03:12 AM,12.8833,-88.9462,Frente a la costa de La Paz. A 43 km al sur de Desembocadura del RÃ­o Lempa.,31.95,3.9,II en La Paz
4706,13-Jun-20,2:54:41 AM,13.8337,-91.2718,Frente a la costa de Guatemala. A 114 km al suroeste de ciudad de Guatemala.,10,4.5,II en AhuachapÃ¡n
4705,12-Jun-20,11:17:02 AM,13.0998,-89.7637,Frente a la costa de La Libertad. A 47 km al sur de Playa Los CÃ³banos.,24.59,3.6,II en La Libertad
4704,11-Jun-20,11:31:27 AM,12.632,-88.2173,Frente a la costa de UsulutÃ¡n. A 60 km al sur de Playa El Espino.,40.31,3.5,II-III en UsulutÃ¡n
4703,11-Jun-20,6:10:08 AM,13.3268,-89.8523,Frente a la costa de Sonsonate. A 22 km al sur de Playa Los CÃ³banos.,41.98,3.9,II en Sonsonate
4702,8-Jun-20,4:54:17 AM,13.2705,-90.982,Frente a la costa de Guatemala. A 115 km al suroeste de Barra de Santiago.,35.09,4,II en AhuachapÃ¡n
4701,8-Jun-20,3:37:44 AM,12.4613,-87.7313,Frente a la costa de Nicaragua. A 81 km al sur de Isla de Meanguera.,33.65,3.9,II en La UniÃ³n
4700,8-Jun-20,12:05:40 AM,13.1068,-91.0218,Frente a la costa de Guatemala. A 127 km al suroeste de Barra de Santiago.,10,4.5,II en AhuachapÃ¡n
4699,4-Jun-20,6:36:44 AM,12.5558,-87.9833,Frente a la costa de La UniÃ³n. A 66 km al sur de Playa Las Tunas.,57.02,4.9,III en La UniÃ³n
4698,2-Jun-20,8:56:49 PM,13.1957,-89.1638,Frente a la costa de La Paz. A 22 km al suroeste de Playa Las Hojas.,58.7,4.4,III en La Paz
4697,2-Jun-20,6:08:15 AM,13.5443,-90.8765,Frente a la costa de Guatemala. A 95 km al oeste de Barra de Santiago.,17.48,4,II en AhuachapÃ¡n
4696,1-Jun-20,10:55:55 PM,12.6682,-87.5522,Frente a la costa de Nicaragua. A 60 km al sur de Isla de Meanguera.,46.24,3.7,II en La UniÃ³n
4695,31-May-20,7:00:32 PM,12.7133,-88.8517,Frente a la costa de UsulutÃ¡n. A 59 km al sur de PenÃ­nsula San Juan del Gozo.,28.44,4.8,III en UsulutÃ¡n
4694,29-May-20,5:00:38 PM,12.6102,-87.9928,Frente a la costa de La UniÃ³n. A 60 km al sur de Playa Las Tunas.,53.55,4,II en La UniÃ³n
4693,29-May-20,4:04:17 AM,13.7707,-91.3467,Frente a la costa de Guatemala. A 125 km al suroeste de ciudad de Guatemala.,30.08,5.1,II en AhuachapÃ¡n
4692,28-May-20,10:43:22 PM,13.2105,-89.2922,Frente a la costa de La Libertad. A 27 km al suroeste de Playa La Zunganera.,60.82,4.4,III San Salvador
4691,27-May-20,12:45:00 PM,13.5743,-90.753,Frente a la costa de Guatemala. A 81 km al oeste de Barra de Santiago.,18.84,4,II en AhuachapÃ¡n
4690,25-May-20,12:49:55 PM,13.0393,-89.5733,Frente a la costa de La Libertad. A 52 km al sur de Playa Mizata.,37.49,3.9,II en La Libertad
4689,25-May-20,10:42:34 AM,12.9712,-90.0848,Frente a la costa de Sonsonate. A 68 km al suroeste de Playa Los CÃ³banos.,12.49,3.5,II en Sonsonate
4688,23-May-20,12:09:26 PM,12.958,-88.1028,Frente a la costa de San Miguel. A 23 km al sur de Playa El Cuco.,73.48,3.7,II En Chirilagua
4687,22-May-20,11:07:52 AM,13.0113,-88.8212,Frente a la costa de UsulutÃ¡n. A 27 km al sur de Desembocadura del RÃ­o Lempa.,55.65,3.6,II en UsulutÃ¡n
4686,22-May-20,10:38:21 AM,12.9488,-88.5103,Frente a la costa de UsulutÃ¡n. A 25 km al sur de BahÃ­a de Jiquilisco.,80.78,4.1,II-III en UsulutÃ¡n
4685,21-May-20,11:43:17 AM,13.2442,-89.9538,Frente a la costa de Sonsonate. A 35 km al suroeste de Playa Los CÃ³banos.,24.59,3.7,II en Sonsonate
4684,21-May-20,9:06:16 AM,13.1873,-90.9768,Frente a la costa de Guatemala. A 118 km al suroeste de Barra de Santiago.,8,4,II en AhuachapÃ¡n
4683,20-May-20,4:29:40 AM,12.284,-87.733,Frente a la costa de Nicaragua. A 100 km al sur de Playa Las Tunas.,35.38,4.1,II en el Golfo de Fonseca
4682,19-May-20,9:30:39 PM,11.5438,-86.729,Frente a la costa de Nicaragua. A 211 km al sureste de Isla de Meanguera.,20,5,II en La UniÃ³n
4681,19-May-20,4:49:53 AM,13.2502,-89.9228,Frente a la costa de Sonsonate. A 36 km al sur de Playa Los CÃ³banos.,32.2,3.9,II Sonsonate
4680,16-May-20,3:40:45 AM,12.5702,-88.8082,Frente a la costa de UsulutÃ¡n. A 73 km al sur de PenÃ­nsula San Juan del Gozo.,12,3.7,II en UsulutÃ¡n
4679,14-May-20,9:05:37 AM,13.6773,-90.648,Frente a la costa de Guatemala. A 68 km al oeste de Barra de Santiago.,75.17,4.4,II en AhuachapÃ¡n
4678,13-May-20,10:54:31 AM,12.5015,-87.7687,Frente a la costa de Nicaragua. A 76 km al sur de Playa Las Tunas.,31.29,4.2,II La uniÃ³n
4677,12-May-20,12:50:27 PM,12.5847,-88.2072,Frente a la costa de Nicaragua.,34.5,4.2,II-III en UsulutÃ¡n
4676,12-May-20,1:32:35 AM,13.6937,-89.227,"En munic. de San Salvador, San Salvador. A 3 km al oeste de San Salvador.",7.17,2.2,II en San Salvador
4675,12-May-20,12:54:48 AM,13.6967,-89.2263,"En munic. de San Salvador, San Salvador. A 3 km al oeste de San Salvador.",8.4,2.1,II en San Salvador
4674,8-May-20,12:16:39 PM,13.194,-89.754,Frente a la costa de Sonsonate. A 40 km al sur de Playa Los CÃ³banos.,16.3,4.7,III Sonsonate
4673,8-May-20,8:08:01 AM,13.0338,-88.8175,Frente a la costa de San Vicente. A 20 km al sur de Desembocadura del RÃ­o Lempa.,51.7,4.4,III San Vicente
4672,5-May-20,6:02:37 AM,13.244,-91.064,Frente a costas de Guatemala.A 124 km al suroeste de Barra de Santiago.,33,5.1,II en AhuachapÃ¡n
4671,2-May-20,8:39:31 PM,12.5135,-89.4977,Frente a la costa de La Libertad. A 105 km al suroeste de Playa Las Hojas,9.19,3.9,II en La Libertad
4670,2-May-20,2:09:53 PM,12.7455,-87.8083,En Golfo de Fonseca. A 49 km al sur de Playa Las Tunas.,69.82,3.6,II en La UniÃ³n
4669,2-May-20,1:30:01 PM,13.365,-91.2757,Frente a la costa de Guatemala. A 141 km al oeste de Barra de Santiago.,5,4.2,II en AhuachapÃ¡n
4668,"Abr 30, 2020",4:53:00 PM,12.5765,-87.813,Frente a la costa de Nicaragua. A 66 km al sur de Playa Las Tunas.,50.09,3.9,II III en el Golfo de Fonseca
4667,"Abr 30, 2020",10:57:43 AM,13.0472,-90.3173,Frente a la costa de AhuachapÃ¡n. A 77 km al suroeste de Playa Los CÃ³banos,23.27,3.5,II en AhuachapÃ¡n
4666,"Abr 28, 2020",4:22:34 PM,13.2435,-90.3678,Frente a la costa de Guatemala. A 63 km al suroeste de Barra de Santiago.,23.94,3.6,II en Sonsonate
4665,"Abr 28, 2020",3:10:14 PM,13.1993,-89.9977,Frente a la costa de Sonsonate. A 41 km al suroeste de Playa Los CÃ³banos.,17.11,3.6,II en Sonsonate
4664,"Abr 28, 2020",5:23:51 AM,14.0977,-89.8028,En Territorio Guatemalteco. A 19 km al norte de AhuachapÃ¡n.,3.98,2.7,II en AhuachapÃ¡n
4663,"Abr 27, 2020",10:26:23 PM,13.3445,-90.1893,Frente a la costa de AhuachapÃ¡n. A 43 km al suroeste de Barra de Santiago.,30.52,4.2,II en AhuachapÃ¡n
